frame,timestamp,track_id,class,x1,y1,x2,y2,confidence
1,11:47:28,1,person,568,441,1276,718,0.857
3,11:47:29,1,person,581,441,1280,716,0.890
5,11:47:30,1,person,582,440,1280,716,0.898
7,11:47:30,1,person,583,441,1280,716,0.879
9,11:47:30,1,person,582,440,1280,716,0.902
11,11:47:30,1,person,583,440,1280,716,0.882
13,11:47:31,1,person,584,440,1280,715,0.867
15,11:47:31,1,person,584,440,1280,716,0.851
17,11:47:31,1,person,579,441,1278,716,0.770
19,11:47:31,1,person,593,442,1280,716,0.439
21,11:47:31,1,person,589,441,1280,716,0.868
23,11:47:32,1,person,586,440,1280,717,0.889
25,11:47:32,1,person,584,437,1280,716,0.868
27,11:47:32,1,person,583,435,1280,716,0.860
29,11:47:33,1,person,582,434,1280,717,0.866
31,11:47:33,1,person,584,436,1280,717,0.879
33,11:47:33,1,person,586,437,1280,716,0.858
35,11:47:33,1,person,586,437,1280,716,0.813
39,11:47:34,3,person,0,106,1224,710,0.857
41,11:47:34,3,person,0,100,1203,709,0.854
43,11:47:34,3,person,0,102,1187,710,0.841
45,11:47:34,3,person,0,108,1168,710,0.854
47,11:47:35,3,person,0,113,1150,709,0.829
49,11:47:35,3,person,0,129,1235,710,0.573
51,11:47:35,1,person,597,438,1280,715,0.728
53,11:47:36,1,person,595,438,1280,716,0.670
53,11:47:36,3,person,0,112,1280,714,0.678
55,11:47:36,3,person,50,195,1232,717,0.680
57,11:47:36,3,person,34,183,1245,716,0.686
59,11:47:37,3,person,0,75,1225,712,0.705
59,11:47:37,1,person,589,434,1280,717,0.625
61,11:47:37,3,person,0,27,1156,710,0.660
61,11:47:37,1,person,593,437,1280,717,0.830
63,11:47:37,3,person,0,8,1089,710,0.688
63,11:47:37,1,person,594,439,1279,717,0.845
65,11:47:37,1,person,595,438,1280,717,0.766
67,11:47:37,1,person,400,421,1166,715,0.499
69,11:47:38,3,person,45,190,1131,713,0.792
71,11:47:38,3,person,0,74,1096,708,0.811
71,11:47:38,1,person,529,434,1259,716,0.811
73,11:47:38,3,person,0,34,1053,704,0.824
73,11:47:38,1,person,563,438,1280,717,0.760
